tattoo,date,count
84328,2019-04-01,200
55114,2019-04-01,196
55114,2019-04-01,191
25668,2019-04-01,195
25668,2019-04-01,195
13518,2019-04-01,200
79148,2019-04-01,195
13518,2019-04-01,199
79148,2019-04-01,199
13518,2019-04-01,197
13518,2019-04-01,202
84228,2019-04-01,200
25668,2019-04-01,95
25668,2019-04-01,100
77778,2019-04-01,90
47958,2019-04-01,86
80118,2019-04-01,194
82728,2019-04-01,195
76318,2019-04-01,148
84448,2019-04-01,180
35448,2019-04-01,157
33348,2019-04-01,3
51518,2019-04-01,187
76318,2019-04-01,30
70558,2019-04-01,195
85578,2019-04-01,200
80118,2019-04-01,194
30064,2019-04-01,190
85708,2019-04-01,196
85758,2019-04-01,2
85708,2019-04-01,120
85758,2019-04-01,80
86528,2019-04-01,100
86568,2019-04-01,96
84478,2019-04-01,135
84578,2019-04-01,71
55114,2019-04-01,197
35508,2019-04-01,210
13518,2019-04-01,186
13958,2019-04-01,160
66164,2019-04-01,51
66174,2019-04-01,154
25168,2019-04-01,135
25668,2019-04-01,60
84228,2019-04-01,202
84128,2019-04-01,1
79148,2019-04-01,198
79148,2019-04-01,196
25718,2019-04-01,141
20808,2019-04-01,64
82818,2019-04-01,55
82018,2019-04-01,195
EXTRA,2019-04-01,14
85708,2019-04-02,66
85758,2019-04-02,134
82728,2019-04-02,193
81028,2019-04-02,195
85528,2019-04-02,201
82518,2019-04-02,199
81358,2019-04-02,196
67268,2019-04-02,179
76268,2019-04-02,178
81318,2019-04-02,157
81358,2019-04-02,37
30074,2019-04-02,75
30084,2019-04-02,121
82818,2019-04-02,145
65358,2019-04-02,195
77778,2019-04-02,90
71148,2019-04-02,115
81018,2019-04-02,185
15388,2019-04-02,180
90508,2019-04-02,153
49228,2019-04-02,201
118,2019-04-02,173
66164,2019-04-02,89
66184,2019-04-02,116
38058,2019-04-02,70
35448,2019-04-02,160
84478,2019-04-02,69
84448,2019-04-02,137
30054,2019-04-02,196
80118,2019-04-02,174
80178,2019-04-02,21
80128,2019-04-02,191
67268,2019-04-02,180
70558,2019-04-02,192
86338,2019-04-02,194
67268,2019-04-02,190
82728,2019-04-02,194
82728,2019-04-02,80
81358,2019-04-02,107
30534,2019-04-02,200
67268,2019-04-02,105
81028,2019-04-02,199
38058,2019-04-02,101
51628,2019-04-02,70
84128,2019-04-02,201
65358,2019-04-02,196
79148,2019-04-02,191
25718,2019-04-02,115
20568,2019-04-02,93
25718,2019-04-02,166
20808,2019-04-02,42
81418,2019-04-02,202
80918,2019-04-03,195
80918,2019-04-03,195
80918,2019-04-03,107
83608,2019-04-03,65
80668,2019-04-03,177
80658,2019-04-03,12
30304,2019-04-03,197
59524,2019-04-03,166
52224,2019-04-03,163
80698,2019-04-03,44
80688,2019-04-03,145
81078,2019-04-03,196
85868,2019-04-03,194
82728,2019-04-03,196
67268,2019-04-03,86
30534,2019-04-03,201
84558,2019-04-03,182
25168,2019-04-03,200
71148,2019-04-03,96
84168,2019-04-03,108
84228,2019-04-03,42
84128,2019-04-03,55
81018,2019-04-03,184
15388,2019-04-03,180
84168,2019-04-03,150
84168,2019-04-03,49
51518,2019-04-03,187
82A8,2019-04-03,1
82B8,2019-04-03,1
82C8,2019-04-03,1
82D8,2019-04-03,1
8.20E+09,2019-04-03,1
82F8,2019-04-03,1
82G8,2019-04-03,1
82H8,2019-04-03,1
82I8,2019-04-03,1
82J8,2019-04-03,1
82K8,2019-04-03,1
82L8,2019-04-03,1
82M8,2019-04-03,1
82N8,2019-04-03,1
82O8,2019-04-03,1
82P8,2019-04-03,1
82Q8,2019-04-03,1
82R8,2019-04-03,1
82S8,2019-04-03,1
82T8,2019-04-03,1
82U8,2019-04-03,1
82V8,2019-04-03,1
